timestamp,host_name,ip,avg_latency_ms,packet_loss_percent,status
2026-05-12 00:42:40,Google DNS,8.8.8.8,26,0,OK
2026-05-12 00:42:43,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 00:42:46,OpenDNS,208.67.222.222,17,0,OK
2026-05-12 00:42:49,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 00:42:52,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 00:43:55,Google DNS,8.8.8.8,26,0,OK
2026-05-12 00:43:58,Cloudflare DNS,1.1.1.1,16,0,OK
2026-05-12 00:44:02,OpenDNS,208.67.222.222,16,0,OK
2026-05-12 00:44:05,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 00:44:08,Quad9 DNS,9.9.9.9,44,0,OK
2026-05-12 00:45:11,Google DNS,8.8.8.8,26,0,OK
2026-05-12 00:45:14,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 00:45:17,OpenDNS,208.67.222.222,16,0,OK
2026-05-12 00:45:20,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 00:45:23,Quad9 DNS,9.9.9.9,44,0,OK
2026-05-12 00:46:26,Google DNS,8.8.8.8,26,0,OK
2026-05-12 00:46:29,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 00:46:32,OpenDNS,208.67.222.222,16,0,OK
2026-05-12 00:46:35,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 00:46:38,Quad9 DNS,9.9.9.9,44,0,OK
2026-05-12 00:47:42,Google DNS,8.8.8.8,27,0,OK
2026-05-12 00:47:45,Cloudflare DNS,1.1.1.1,16,0,OK
2026-05-12 00:47:48,OpenDNS,208.67.222.222,16,0,OK
2026-05-12 00:47:51,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 00:47:54,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 00:48:57,Google DNS,8.8.8.8,26,0,OK
2026-05-12 00:49:00,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 00:49:03,OpenDNS,208.67.222.222,17,0,OK
2026-05-12 00:49:06,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 00:49:09,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 00:50:12,Google DNS,8.8.8.8,26,0,OK
2026-05-12 00:50:15,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 00:50:18,OpenDNS,208.67.222.222,17,0,OK
2026-05-12 00:50:21,Google DNS 2,8.8.4.4,24,0,OK
2026-05-12 00:50:25,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 00:51:28,Google DNS,8.8.8.8,26,0,OK
2026-05-12 00:51:31,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 00:51:34,OpenDNS,208.67.222.222,16,0,OK
2026-05-12 00:51:37,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 00:51:40,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 00:52:43,Google DNS,8.8.8.8,27,0,OK
2026-05-12 00:52:46,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 00:52:49,OpenDNS,208.67.222.222,17,0,OK
2026-05-12 00:52:52,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 00:52:55,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 00:53:58,Google DNS,8.8.8.8,26,0,OK
2026-05-12 00:54:01,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 00:54:04,OpenDNS,208.67.222.222,17,0,OK
2026-05-12 00:54:08,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 00:54:11,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 00:55:14,Google DNS,8.8.8.8,26,0,OK
2026-05-12 00:55:17,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 00:55:20,OpenDNS,208.67.222.222,17,0,OK
2026-05-12 00:55:23,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 00:55:26,Quad9 DNS,9.9.9.9,46,0,OK
2026-05-12 00:56:29,Google DNS,8.8.8.8,26,0,OK
2026-05-12 00:56:32,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 00:56:35,OpenDNS,208.67.222.222,17,0,OK
2026-05-12 00:56:38,Google DNS 2,8.8.4.4,24,0,OK
2026-05-12 00:56:41,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 00:57:44,Google DNS,8.8.8.8,26,0,OK
2026-05-12 00:57:48,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 00:57:51,OpenDNS,208.67.222.222,16,0,OK
2026-05-12 00:57:54,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 00:57:57,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 00:59:00,Google DNS,8.8.8.8,26,0,OK
2026-05-12 00:59:03,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 00:59:06,OpenDNS,208.67.222.222,16,0,OK
2026-05-12 00:59:09,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 00:59:12,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 01:00:15,Google DNS,8.8.8.8,26,0,OK
2026-05-12 01:00:18,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 01:00:22,OpenDNS,208.67.222.222,17,0,OK
2026-05-12 01:00:25,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 01:00:28,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 01:01:31,Google DNS,8.8.8.8,26,0,OK
2026-05-12 01:01:34,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 01:01:37,OpenDNS,208.67.222.222,17,0,OK
2026-05-12 01:01:40,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 01:01:43,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 01:02:46,Google DNS,8.8.8.8,26,0,OK
2026-05-12 01:02:49,Cloudflare DNS,1.1.1.1,16,0,OK
2026-05-12 01:02:52,OpenDNS,208.67.222.222,16,0,OK
2026-05-12 01:02:55,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 01:02:58,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 01:04:01,Google DNS,8.8.8.8,26,0,OK
2026-05-12 01:04:05,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 01:04:08,OpenDNS,208.67.222.222,17,0,OK
2026-05-12 01:04:11,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 01:04:14,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 01:05:17,Google DNS,8.8.8.8,26,0,OK
2026-05-12 01:05:20,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 01:05:23,OpenDNS,208.67.222.222,16,0,OK
2026-05-12 01:05:26,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 01:05:29,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 01:06:32,Google DNS,8.8.8.8,27,0,OK
2026-05-12 01:06:35,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 01:06:38,OpenDNS,208.67.222.222,16,0,OK
2026-05-12 01:06:41,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 01:06:45,Quad9 DNS,9.9.9.9,44,0,OK
2026-05-12 01:07:48,Google DNS,8.8.8.8,26,0,OK
2026-05-12 01:07:51,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 01:07:54,OpenDNS,208.67.222.222,17,0,OK
2026-05-12 01:07:57,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 01:08:00,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 01:09:03,Google DNS,8.8.8.8,26,0,OK
2026-05-12 01:09:06,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 01:09:09,OpenDNS,208.67.222.222,16,0,OK
2026-05-12 01:09:12,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 01:09:15,Quad9 DNS,9.9.9.9,45,0,OK
2026-05-12 01:10:18,Google DNS,8.8.8.8,26,0,OK
2026-05-12 01:10:21,Cloudflare DNS,1.1.1.1,17,0,OK
2026-05-12 01:10:25,OpenDNS,208.67.222.222,17,0,OK
2026-05-12 01:10:28,Google DNS 2,8.8.4.4,23,0,OK
2026-05-12 01:10:31,Quad9 DNS,9.9.9.9,45,0,OK
